GA mutation 0.001 genSize 20, GA mutation 0.001 genSize 40, GA mutation 0.01, GA genSize 10 TS iter 5000, GA genSize 30 TS iter 5000, GA genSize 10 TS iter 10000, GA genSize 20 TS iter 10000
216, 247, 80, 288, 312, 317, 337
217, 239, 76, 308, 317, 309, 312
231, 238, 83, 291, 316, 312, 309
224, 254, 76, 294, 298, 312, 312
219, 234, 87, 308, 322, 316, 311
222, 245, 77, 293, 312, 313, 320
213, 249, 81, 303, 314, 312, 322
220, 239, 77, 291, 312, 320, 317
227, 248, 77, 289, 309, 308, 309
220, 256, 83, 298, 322, 317, 314
testing
333
